post_title,post_name,post_parent,ID,sku,parent_sku,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Código,attribute_data:Código,attribute:Códigos,attribute_data:Códigos,attribute:Códigos:,attribute_data:Códigos:,attribute:Marca,attribute_data:Marca
"Ángulos de alas desiguales",angulos-alas-desiguales,,1157,,,simple,,"Perfiles de aluminio > Perfiles abiertos",,,,,,,,,,
"Ángulos de alas iguales",angulos-alas-iguales,,1158,,,simple,,"Perfiles de aluminio > Perfiles abiertos",,,,,,,,,,
"Barras redondas",barras-redondas,,1159,,,simple,,"Perfiles de aluminio > Perfiles abiertos",,,,,,,,,,
Pletinas,pletinas,,1160,,,simple,,"Perfiles de aluminio > Perfiles abiertos",,,,,,,,,,
"Tubos cuadrados",tubos-cuadrados,,1161,,,simple,,"Perfiles de aluminio > Perfiles tubulares",,,,,,,,,,
"Tubos rectangulares",tubos-rectangulares,,1162,,,simple,,"Perfiles de aluminio > Perfiles tubulares",,,,,,,,,,
"Tubos redondos",tubos-redondos,,1163,,,simple,,"Perfiles de aluminio > Perfiles tubulares",,,,,,,,,,
"Ferias y estanterías",ferias-estanterias,,1164,,,simple,featured,"Perfiles especiales > Perfiles para usos comerciales",,,,,,,,,,
"Marcos de puerta y fijos",marcos-de-puerta-y-fijos,,1165,,,simple,,"Perfiles especiales|Perfiles especiales > Perfiles para terminaciones",,,,,,,,,,
"Perfiles especiales",perfiles-especiales,,1166,,,simple,,"Perfiles especiales|Perfiles especiales > Perfiles para usos comerciales",,,,,,,,,,
"Perfiles Ibiza",perfiles-ibiza,,1167,,,simple,featured,"Perfiles especiales > Perfiles para terminaciones",,,,,,,,,,
"Perfiles para accesorios",perfiles-para-accesorios,,1168,,,simple,,"Perfiles especiales > Perfiles para usos comerciales",,,,,,,,,,
"Shower Door S-12",shower-door-s12,,1169,,,simple,,"Perfiles especiales > Perfiles para terminaciones",,,,,,,,,,
"Plancha diamantada",plancha-diamantada,,1170,,,simple,,"Perfiles y planchas industriales|Perfiles y planchas industriales > Planchas diamantadas",,,,,,,,,,
"Plancha de aluminio de 1,5 mm",plancha-de-aluminio-15-mm,,1171,,,simple,,"Perfiles y planchas industriales|Perfiles y planchas industriales > Planchas lisas",,,,,,,,,,
"Plancha de aluminio de 2 mm",plancha-de-aluminio-2-mm,,1172,,,simple,,"Perfiles y planchas industriales|Perfiles y planchas industriales > Planchas lisas",,,,,,,,,,
"Plancha de aluminio 3 mm",plancha-aluminio-3mm,,1173,,,simple,,"Perfiles y planchas industriales > Planchas lisas",,,,,,,,,,
"Serie S-38",serie-s38,,1174,,,simple,,"Ventanas > Fijos y proyectantes",,,,,,,,,,
